symbol,coupon_rate,sector,industry,company_name,month_3_aver_vol
PPX,5.9,Finance,Finance/Rental/Leasing,"PPL Capital Funding, Inc.",37573
PYS,6.3,Finance,Finance/Rental/Leasing,PPLUS Trust,5035
PYT,0.0,Finance,Finance/Rental/Leasing,PPLUS Trust Series GSC-2,3019
BPOPN,6.7,Finance,Finance/Rental/Leasing,Popular Capital Trust I,10452
BPOPM,6.125,Finance,Finance/Rental/Leasing,Popular Capital Trust II,6492
PIY,8.375,Finance,Finance/Rental/Leasing,PreferredPlus Trust,7313
SCE-PG,5.1,Finance,Finance/Rental/Leasing,SCE Trust II,44045
SCE-PH,5.75,Finance,Finance/Rental/Leasing,SCE Trust III,39008
SCE-PJ,5.375,Finance,Finance/Rental/Leasing,SCE Trust IV,25077
SCE-PK,5.45,Finance,Finance/Rental/Leasing,SCE Trust V,41653
SCE-PL,5.0,Finance,Finance/Rental/Leasing,SCE Trust VI,66869
SLMBP,0.0,Finance,Finance/Rental/Leasing,SLM Corp.,28713
GJT,0.0,Finance,Finance/Rental/Leasing,STRATS Trust for Allstate Corp. Series 2006-3,2114
GJP,0.0,Finance,Finance/Rental/Leasing,"STRATS Trust for Dominion Resources, Inc. Series 2005-6",1489
GJS,0.0,Finance,Finance/Rental/Leasing,STRATS Trust for Goldman Sachs Group Series 2006-2,2478
GJR,0.0,Finance,Finance/Rental/Leasing,STRATS Trust for Procter & Gamble 2006-1,544
GJH,6.375,Finance,Finance/Rental/Leasing,STRATS Trust for U.S. Cellular Corp. SEC Series 2004-6,1727
SAN-PB,0.0,Finance,Finance/Rental/Leasing,Santander Finance Preferred SA Unipersonal,25204
SYF-PA,5.625,Finance,Finance/Rental/Leasing,Synchrony Financial,142866
TRTN-PA,8.5,Finance,Finance/Rental/Leasing,Triton International Ltd.,21574
TRTN-PB,8.0,Finance,Finance/Rental/Leasing,Triton International Ltd.,33173
TRTN-PC,7.375,Finance,Finance/Rental/Leasing,Triton International Ltd.,54331
TRTN-PD,6.875,Finance,Finance/Rental/Leasing,Triton International Ltd.,144707
C-PJ,7.125,Finance,Financial Conglomerates,"Citigroup, Inc.",111426
C-PK,6.875,Finance,Financial Conglomerates,"Citigroup, Inc.",186359
C-PS,6.3,Finance,Financial Conglomerates,"Citigroup, Inc.",152629
EQH-PA,5.25,Finance,Financial Conglomerates,"Equitable Holdings, Inc.",215370
PJH,5.75,Finance,Financial Conglomerates,"Prudential Financial, Inc.",41300
PRH,5.7,Finance,Financial Conglomerates,"Prudential Financial, Inc.",65515
PRS,5.625,Finance,Financial Conglomerates,"Prudential Financial, Inc.",63418
RCP,6.5,Finance,Financial Conglomerates,Ready Capital Corp. (New York),5171
ESGRP,7.0,Finance,Insurance Brokers/Services,Enstar Group Ltd.,36507
ESGRO,7.0,Finance,Insurance Brokers/Services,Enstar Group Ltd.,27516
RILYZ,7.5,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",34329
RILYH,7.375,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",18246
RILYG,7.25,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",17958
RILYI,6.875,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",15987
RILYP,6.875,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",19438
RILYO,6.75,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",17021
RILYN,6.5,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",28145
RILYM,6.375,Finance,Investment Banks/Brokers,"B. Riley Financial, Inc.",113521
COWNL,7.75,Finance,Investment Banks/Brokers,"Cowen, Inc.",12486
COWNZ,7.35,Finance,Investment Banks/Brokers,"Cowen, Inc.",19119
JMPNZ,6.875,Finance,Investment Banks/Brokers,JMP Group LLC,16559
JMPNL,7.25,Finance,Investment Banks/Brokers,"JMP Group, Inc.",5111
MS-PF,6.875,Finance,Investment Banks/Brokers,Morgan Stanley,93055
MS-PI,6.375,Finance,Investment Banks/Brokers,Morgan Stanley,108069
MS-PK,5.85,Finance,Investment Banks/Brokers,Morgan Stanley,128271
MS-PL,4.875,Finance,Investment Banks/Brokers,Morgan Stanley,196016
MS-PA,0.0,Finance,Investment Banks/Brokers,Morgan Stanley,131466
MS-PE,7.125,Finance,Investment Banks/Brokers,Morgan Stanley & Co. LLC,98978
SF-PA,6.25,Finance,Investment Banks/Brokers,Stifel Financial Corp.,13803
SF-PB,6.25,Finance,Investment Banks/Brokers,Stifel Financial Corp.,17671
SCHW-PC,6.0,Finance,Investment Banks/Brokers,The Charles Schwab Corp.,73748
SCHW-PD,5.95,Finance,Investment Banks/Brokers,The Charles Schwab Corp.,135289
GS-PK,6.375,Finance,Investment Banks/Brokers,"The Goldman Sachs Group, Inc.",78787
GS-PN,6.3,Finance,Investment Banks/Brokers,"The Goldman Sachs Group, Inc.",85470
GS-PJ,5.5,Finance,Investment Banks/Brokers,"The Goldman Sachs Group, Inc.",123983
GS-PA,0.0,Finance,Investment Banks/Brokers,"The Goldman Sachs Group, Inc.",75995
GS-PC,0.0,Finance,Investment Banks/Brokers,"The Goldman Sachs Group, Inc.",25211
GS-PD,0.0,Finance,Investment Banks/Brokers,"The Goldman Sachs Group, Inc.",154935
MGR,5.875,Finance,Investment Managers,"Affiliated Managers Group, Inc.",33786
AFC,6.875,Finance,Investment Managers,Allied Capital Corp.,26246
APO-PA,6.375,Finance,Investment Managers,"Apollo Global Management, Inc.",32293
APO-PB,6.375,Finance,Investment Managers,"Apollo Global Management, Inc.",31345
ARES-PA,7.0,Finance,Investment Managers,Ares Management Corp.,29647
ATCO-PD,7.95,Finance,Investment Managers,Atlas Corp. (British Columbia),41774
BSA,5.125,Finance,Investment Managers,"BrightSphere Investment Group, Inc.",27014
CSWCL,5.95,Finance,Investment Managers,Capital Southwest Corp.,6952
CPTAL,6.0,Finance,Investment Managers,Capitala Finance Corp.,8655
CPTAG,5.75,Finance,Investment Managers,Capitala Finance Corp.,5482
CODI-PB,7.875,Finance,Investment Managers,Compass Diversified Holdings,26148
CODI-PC,7.875,Finance,Investment Managers,Compass Diversified Holdings,43243
CODI-PA,7.25,Finance,Investment Managers,Compass Diversified Holdings,24244
CORR-PA,7.375,Finance,Investment Managers,"CorEnergy Infrastructure Trust, Inc.",37629
EFC-PA,6.75,Finance,Investment Managers,"Ellington Financial, Inc.",21350
FDUSZ,6.0,Finance,Investment Managers,Fidus Investment Corp.,5248
FDUSL,5.875,Finance,Investment Managers,Fidus Investment Corp.,3549
FDUSG,5.375,Finance,Investment Managers,Fidus Investment Corp.,8466
FTAI-PA,8.25,Finance,Investment Managers,Fortress Transportation & Infrastructure Investors LLC,23731
FTAI-PB,8.0,Finance,Investment Managers,Fortress Transportation & Infrastructure Investors LLC,35011
GLADD,6.125,Finance,Investment Managers,Gladstone Capital Corp.,3696
GLADL,5.375,Finance,Investment Managers,Gladstone Capital Corp.,4729
GAINL,6.375,Finance,Investment Managers,Gladstone Investment Corp.,6976
GAINM,6.25,Finance,Investment Managers,Gladstone Investment Corp.,8778
GECCM,6.75,Finance,Investment Managers,Great Elm Capital Corp.,2943
GECCN,6.5,Finance,Investment Managers,Great Elm Capital Corp.,4063
HCXY,6.25,Finance,Investment Managers,"Hercules Capital, Inc.",3958
HCXZ,5.25,Finance,Investment Managers,"Hercules Capital, Inc.",8449
KKR-PA,6.75,Finance,Investment Managers,"KKR & Co., Inc.",57979
KKR-PB,6.5,Finance,Investment Managers,"KKR & Co., Inc.",16881
LMHA,6.375,Finance,Investment Managers,"Legg Mason, Inc.",25984
LMHB,5.45,Finance,Investment Managers,"Legg Mason, Inc.",51270
MVCD,6.25,Finance,Investment Managers,"MVC Capital, Inc.",12396
MFINL,9.0,Finance,Investment Managers,Medallion Financial Corp.,3384
MDLQ,7.25,Finance,Investment Managers,Medley LLC,10778
MDLX,6.875,Finance,Investment Managers,Medley LLC,10213
BML-PH,0.0,Finance,Investment Managers,"Merrill Lynch & Co., Inc.",31172
MRCCL,5.75,Finance,Investment Managers,Monroe Capital Corp.,7160
NMFX,5.75,Finance,Investment Managers,New Mountain Finance Corp.,3192
OFSSZ,6.5,Finance,Investment Managers,OFS Capital Corp.,2652
OFSSL,6.375,Finance,Investment Managers,OFS Capital Corp.,5295
OFSSI,5.95,Finance,Investment Managers,OFS Capital Corp.,5613
OAK-PA,6.625,Finance,Investment Managers,Oaktree Capital Group LLC,25183
OAK-PB,6.55,Finance,Investment Managers,Oaktree Capital Group LLC,28254
OXSQL,6.5,Finance,Investment Managers,Oxford Square Capital Corp.,10397
OXSQZ,6.25,Finance,Investment Managers,Oxford Square Capital Corp.,2338
PNNTG,5.5,Finance,Investment Managers,PennantPark Investment Corp.,5826
KCAPL,6.125,Finance,Investment Managers,Portman Ridge Finance Corp.,7001
PBC,6.875,Finance,Investment Managers,Prospect Capital Corp.,10204
PBB,6.25,Finance,Investment Managers,Prospect Capital Corp.,25844
PBY,6.25,Finance,Investment Managers,Prospect Capital Corp.,7880
SAF,6.25,Finance,Investment Managers,Saratoga Investment Corp.,7116
SCA,5.75,Finance,Investment Managers,Stellus Capital Investment Corp.,5849
TCRZ,6.75,Finance,Investment Managers,"THL Credit, Inc.",8281
TCRW,6.125,Finance,Investment Managers,"THL Credit, Inc.",3937
TPVY,5.75,Finance,Investment Managers,TriplePoint Venture Growth BDC Corp.,5527
WHFBZ,6.5,Finance,Investment Managers,"WhiteHorse Finance, Inc.",3043
AEL-PA,5.95,Finance,Life/Health Insurance,American Equity Investment Life Holding Co.,101086
BHFAP,6.6,Finance,Life/Health Insurance,"Brighthouse Financial, Inc.",54205
BHFAL,6.25,Finance,Life/Health Insurance,"Brighthouse Financial, Inc.",34147
GL-PC,6.125,Finance,Life/Health Insurance,"Globe Life, Inc.",43107
MHNC,7.75,Finance,Life/Health Insurance,Maiden Holdings North America Ltd.,11361
MET-PE,5.625,Finance,Life/Health Insurance,"MetLife, Inc.",90887
MET-PF,4.75,Finance,Life/Health Insurance,"MetLife, Inc.",822728
MET-PA,0.0,Finance,Life/Health Insurance,"MetLife, Inc.",53464
RZA,6.2,Finance,Life/Health Insurance,"Reinsurance Group of America, Inc.",71692
RZB,5.75,Finance,Life/Health Insurance,"Reinsurance Group of America, Inc.",34339
UNMA,6.25,Finance,Life/Health Insurance,Unum Group,31679
VOYA-PB,5.35,Finance,Life/Health Insurance,"Voya Financial, Inc.",29132
BAC-PL,7.25,Finance,Major Banks,Bank of America Corp.,12405
MER-PK,6.45,Finance,Major Banks,Bank of America Corp.,103973
BAC-PC,6.2,Finance,Major Banks,Bank of America Corp.,132587
BAC-PB,6.0,Finance,Major Banks,Bank of America Corp.,171740
BAC-PA,6.0,Finance,Major Banks,Bank of America Corp.,131244
BAC-PK,5.875,Finance,Major Banks,Bank of America Corp.,114322
BAC-PM,5.375,Finance,Major Banks,Bank of America Corp.,234558
BAC-PN,5.0,Finance,Major Banks,Bank of America Corp.,255884
BML-PG,0.0,Finance,Major Banks,Bank of America Corp.,8353
BML-PJ,0.0,Finance,Major Banks,Bank of America Corp.,30847
BML-PL,0.0,Finance,Major Banks,Bank of America Corp.,39889
BAC-PE,0.0,Finance,Major Banks,Bank of America Corp.,39000
CIT-PB,5.625,Finance,Major Banks,"CIT Group, Inc.",44563
COF-PF,6.2,Finance,Major Banks,Capital One Financial Corp.,65174
COF-PH,6.0,Finance,Major Banks,Capital One Financial Corp.,51541
COF-PG,5.2,Finance,Major Banks,Capital One Financial Corp.,63646
COF-PI,5.0,Finance,Major Banks,Capital One Financial Corp.,335297
COF-PJ,4.8,Finance,Major Banks,Capital One Financial Corp.,1292359
HSBC-PA,6.2,Finance,Major Banks,HSBC Holdings Plc,162323
JPM-PH,6.15,Finance,Major Banks,JPMorgan Chase & Co.,157128
JPM-PG,6.1,Finance,Major Banks,JPMorgan Chase & Co.,158928
JPM-PC,6.0,Finance,Major Banks,JPMorgan Chase & Co.,316480
JPM-PD,5.75,Finance,Major Banks,JPMorgan Chase & Co.,244843
JPM-PJ,4.75,Finance,Major Banks,JPMorgan Chase & Co.,209062
KEY-PI,6.125,Finance,Major Banks,KeyCorp,53584
KEY-PJ,5.65,Finance,Major Banks,KeyCorp,52795
KEY-PK,5.625,Finance,Major Banks,KeyCorp,71193
OFG-PA,7.125,Finance,Major Banks,OFG Bancorp,5937
OFG-PD,7.125,Finance,Major Banks,OFG Bancorp,3936
OFG-PB,7.0,Finance,Major Banks,OFG Bancorp,5193
PBCTP,5.625,Finance,Major Banks,"People's United Financial, Inc.",26645
RF-PB,6.375,Finance,Major Banks,Regions Financial Corp.,53205
RF-PA,6.375,Finance,Major Banks,Regions Financial Corp.,54051
RF-PC,5.7,Finance,Major Banks,Regions Financial Corp.,43625
TCFCP,5.7,Finance,Major Banks,TCF Financial Corp.,17632
BK-PC,5.2,Finance,Major Banks,The Bank of New York Mellon Corp.,71465
PNC-PP,6.125,Finance,Major Banks,"The PNC Financial Services Group, Inc.",161214
PNC-PQ,5.375,Finance,Major Banks,"The PNC Financial Services Group, Inc.",38774
USB-PM,6.5,Finance,Major Banks,U.S. Bancorp,127468
USB-PP,5.5,Finance,Major Banks,U.S. Bancorp,60121
USB-PO,5.15,Finance,Major Banks,U.S. Bancorp,44206
USB-PA,0.0,Finance,Major Banks,U.S. Bancorp,1326
USB-PH,0.0,Finance,Major Banks,U.S. Bancorp,109237
WFC-PL,7.5,Finance,Major Banks,Wachovia Corp.,13377
WFC-PR,6.625,Finance,Major Banks,Wells Fargo & Co.,93742
WFC-PT,6.0,Finance,Major Banks,Wells Fargo & Co.,117196
WFC-PV,6.0,Finance,Major Banks,Wells Fargo & Co.,122240
WFC-PQ,5.85,Finance,Major Banks,Wells Fargo & Co.,182896
WFC-PW,5.7,Finance,Major Banks,Wells Fargo & Co.,105210
WFC-PY,5.625,Finance,Major Banks,Wells Fargo & Co.,89551
WFC-PX,5.5,Finance,Major Banks,Wells Fargo & Co.,141270
WFC-PP,5.25,Finance,Major Banks,Wells Fargo & Co.,57976
WFC-PN,5.2,Finance,Major Banks,Wells Fargo & Co.,78696
WFC-PO,5.125,Finance,Major Banks,Wells Fargo & Co.,76358
WFC-PZ,4.75,Finance,Major Banks,Wells Fargo & Co.,1816437
ZIONL,6.95,Finance,Major Banks,Zions Bancorporation,3637
ZIONO,6.3,Finance,Major Banks,Zions Bancorporation,13516
ZIONN,5.75,Finance,Major Banks,Zions Bancorporation,13322
ZIONP,0.0,Finance,Major Banks,Zions Bancorporation,3767
AEB,0.0,Finance,Multi-Line Insurance,AEGON NV,26376
AXS-PE,5.5,Finance,Multi-Line Insurance,AXIS Capital Holdings Ltd.,47964
AIG-PA,5.85,Finance,Multi-Line Insurance,"American International Group, Inc.",63496
ACGLO,5.45,Finance,Multi-Line Insurance,Arch Capital Group Ltd.,37413
ACGLP,5.25,Finance,Multi-Line Insurance,Arch Capital Group Ltd.,53532
ARGD,6.5,Finance,Multi-Line Insurance,"Argo Group US, Inc.",11755
AGO-PB,6.875,Finance,Multi-Line Insurance,"Assured Guaranty Municipal Holdings, Inc.",22142
AGO-PE,6.25,Finance,Multi-Line Insurance,"Assured Guaranty Municipal Holdings, Inc.",34213
AGO-PF,5.6,Finance,Multi-Line Insurance,"Assured Guaranty Municipal Holdings, Inc.",12856
PUK-P,6.75,Finance,Multi-Line Insurance,Prudential Plc,28483
PUK-PA,6.5,Finance,Multi-Line Insurance,Prudential Plc,29953
HGH,7.875,Finance,Multi-Line Insurance,"The Hartford Financial Services Group, Inc.",74300
HIG-PG,6.0,Finance,Multi-Line Insurance,"The Hartford Financial Services Group, Inc.",37556
WTREP,8.5,Finance,Multi-Line Insurance,Watford Holdings Ltd.,1524
PIHPP,8.0,Finance,Property/Casualty Insurance,"1347 Property Insurance Holdings, Inc.",2405
AFGH,6.0,Finance,Property/Casualty Insurance,"American Financial Group, Inc.",21939
AFGB,5.875,Finance,Property/Casualty Insurance,"American Financial Group, Inc.",18575
AFGC,5.125,Finance,Property/Casualty Insurance,"American Financial Group, Inc.",60757
AHL-PC,5.95,Finance,Property/Casualty Insurance,Aspen Insurance Holdings Ltd.,33228
AHL-PE,5.625,Finance,Property/Casualty Insurance,Aspen Insurance Holdings Ltd.,54226
AHL-PD,5.625,Finance,Property/Casualty Insurance,Aspen Insurance Holdings Ltd.,27714
CNFRL,6.75,Finance,Property/Casualty Insurance,"Conifer Holdings, Inc.",2661
GBLIL,7.875,Finance,Property/Casualty Insurance,Global Indemnity Ltd.,13513
GBLIZ,7.75,Finance,Property/Casualty Insurance,Global Indemnity Ltd.,14983
MH-PA,8.25,Finance,Property/Casualty Insurance,Maiden Holdings Ltd.,13713
MH-PC,7.125,Finance,Property/Casualty Insurance,Maiden Holdings Ltd.,12619
MH-PD,6.7,Finance,Property/Casualty Insurance,Maiden Holdings Ltd.,11806
MHLA,6.625,Finance,Property/Casualty Insurance,Maiden Holdings Ltd.,11893
NGHCZ,7.625,Finance,Property/Casualty Insurance,National General Holdings Corp.,10999
NGHCO,7.5,Finance,Property/Casualty Insurance,National General Holdings Corp.,26740
NGHCN,7.5,Finance,Property/Casualty Insurance,National General Holdings Corp.,34860
NGHCP,7.5,Finance,Property/Casualty Insurance,National General Holdings Corp.,5737
RNR-PF,5.75,Finance,Property/Casualty Insurance,RenaissanceRe Holdings Ltd.,27862
RNR-PE,5.375,Finance,Property/Casualty Insurance,RenaissanceRe Holdings Ltd.,31307
ALL-PG,5.625,Finance,Property/Casualty Insurance,The Allstate Corp.,65295
ALL-PH,5.1,Finance,Property/Casualty Insurance,The Allstate Corp.,186874
ALL-PB,5.1,Finance,Property/Casualty Insurance,The Allstate Corp.,55970
ALL-PI,4.75,Finance,Property/Casualty Insurance,The Allstate Corp.,75207
THGA,6.35,Finance,Property/Casualty Insurance,"The Hanover Insurance Group, Inc.",23647
WRB-PC,5.9,Finance,Property/Casualty Insurance,W.R. Berkley Corp.,23934
WRB-PD,5.75,Finance,Property/Casualty Insurance,W.R. Berkley Corp.,41362
WRB-PE,5.7,Finance,Property/Casualty Insurance,W.R. Berkley Corp.,27208
WRB-PB,5.625,Finance,Property/Casualty Insurance,W.R. Berkley Corp.,145278
WRB-PF,5.1,Finance,Property/Casualty Insurance,W.R. Berkley Corp.,100009
BPYPP,6.5,Finance,Real Estate Development,Brookfield Property Partners LP,37691
BPYPO,6.375,Finance,Real Estate Development,Brookfield Property Partners LP,49792
BPYPN,5.75,Finance,Real Estate Development,Brookfield Property Partners LP,188281
HTIA,7.375,Finance,Real Estate Development,"Healthcare Trust, Inc.",8549
JCAP-PB,7.0,Finance,Real Estate Development,"Jernigan Capital, Inc.",6135
LMRKP,8.0,Finance,Real Estate Development,Landmark Infrastructure Partners LP,6739
LMRKO,7.9,Finance,Real Estate Development,Landmark Infrastructure Partners LP,13171
LMRKN,0.0,Finance,Real Estate Development,Landmark Infrastructure Partners LP,4022
MITT-PA,8.25,Finance,Real Estate Investment Trusts,"AG Mortgage Investment Trust, Inc.",17438
MITT-PC,8.0,Finance,Real Estate Investment Trusts,"AG Mortgage Investment Trust, Inc.",32463
MITT-PB,8.0,Finance,Real Estate Investment Trusts,"AG Mortgage Investment Trust, Inc.",42419
AGNCN,7.0,Finance,Real Estate Investment Trusts,AGNC Investment Corp.,81802
AGNCM,6.875,Finance,Real Estate Investment Trusts,AGNC Investment Corp.,66100
AGNCO,6.5,Finance,Real Estate Investment Trusts,AGNC Investment Corp.,130785
AGNCP,6.125,Finance,Real Estate Investment Trusts,AGNC Investment Corp.,833702
ARR-PC,7.0,Finance,Real Estate Investment Trusts,"ARMOUR Residential REIT, Inc.",181375
AFINP,7.5,Finance,Real Estate Investment Trusts,"American Finance Trust, Inc.",90265
AMH-PD,6.5,Finance,Real Estate Investment Trusts,American Homes 4 Rent,21424
AMH-PE,6.35,Finance,Real Estate Investment Trusts,American Homes 4 Rent,26917
AMH-PH,6.25,Finance,Real Estate Investment Trusts,American Homes 4 Rent,11813
AMH-PF,5.875,Finance,Real Estate Investment Trusts,American Homes 4 Rent,12326
AMH-PG,5.875,Finance,Real Estate Investment Trusts,American Homes 4 Rent,11784
NLY-PD,7.5,Finance,Real Estate Investment Trusts,"Annaly Capital Management, Inc.",103588
NLY-PF,6.95,Finance,Real Estate Investment Trusts,"Annaly Capital Management, Inc.",149718
NLY-PI,6.75,Finance,Real Estate Investment Trusts,"Annaly Capital Management, Inc.",97466
NLY-PG,6.5,Finance,Real Estate Investment Trusts,"Annaly Capital Management, Inc.",112660
ANH-PA,8.625,Finance,Real Estate Investment Trusts,Anworth Mortgage Asset Corp.,7179
ANH-PC,7.625,Finance,Real Estate Investment Trusts,Anworth Mortgage Asset Corp.,17077
ANH-PB,6.25,Finance,Real Estate Investment Trusts,Anworth Mortgage Asset Corp.,5284
ABR-PC,8.5,Finance,Real Estate Investment Trusts,"Arbor Realty Trust, Inc.",5623
ABR-PA,8.25,Finance,Real Estate Investment Trusts,"Arbor Realty Trust, Inc.",8105
